order_item_id,order_id,product_id,quantity,unit_price,subtotal
1,1,2,2,98.29,196.58
2,2,67,2,90.33,180.66
3,3,41,4,132.03,528.12
4,3,14,1,226.87,226.87
5,3,49,5,129.19,645.95
6,3,47,4,147.59,590.36
7,3,7,1,21.26,21.26
8,4,17,3,279.22,837.66
9,4,58,4,151.22,604.88
10,5,97,1,435.27,435.27
11,5,52,3,287.14,861.42
12,5,34,2,52.96,105.92
13,5,47,2,147.59,295.18
14,6,65,3,315.15,945.45
15,6,50,1,338.6,338.6
16,6,25,3,58.97,176.91
17,7,27,2,169.87,339.74
18,8,30,2,264.32,528.64
19,8,73,1,478.22,478.22
20,8,73,3,478.22,1434.66
21,8,20,2,163.74,327.48
22,9,54,3,127.94,383.82
23,9,30,3,264.32,792.96
24,10,75,5,293.85,1469.25
25,11,38,5,307.83,1539.15
26,11,96,3,125.55,376.65
27,11,41,3,132.03,396.09
28,11,86,3,432.54,1297.62
29,11,60,2,463.32,926.64
30,12,76,5,264.16,1320.8
31,12,17,1,279.22,279.22
32,12,84,5,448.9,2244.5
33,13,41,1,132.03,132.03
34,14,57,2,220.38,440.76
35,15,65,1,315.15,315.15
36,15,17,4,279.22,1116.88
37,15,53,5,495.45,2477.25
38,15,30,1,264.32,264.32
39,15,71,1,208.34,208.34
40,16,84,4,448.9,1795.6
41,16,68,5,174.73,873.65
42,16,88,2,61.41,122.82
43,16,38,2,307.83,615.66
44,17,27,4,169.87,679.48
45,18,64,2,386.16,772.32
46,18,24,5,313.69,1568.45
47,18,16,1,431.44,431.44
48,18,71,2,208.34,416.68
49,19,84,2,448.9,897.8
50,20,22,5,180.62,903.1
51,20,37,4,18.93,75.72
52,21,38,4,307.83,1231.32
53,22,94,1,491.84,491.84
54,22,15,4,56.17,224.68
55,22,77,5,22.82,114.1
56,23,41,4,132.03,528.12
57,24,91,3,97.89,293.67
58,25,7,4,21.26,85.04
59,25,87,3,31.74,95.22
60,26,58,4,151.22,604.88
61,26,36,5,258.12,1290.6
62,26,18,4,110.9,443.6
63,26,70,5,336.06,1680.3
64,26,49,1,129.19,129.19
65,27,61,1,236.77,236.77
66,27,91,1,97.89,97.89
67,27,33,5,84.95,424.75
68,27,33,1,84.95,84.95
69,28,20,2,163.74,327.48
70,28,2,5,98.29,491.45
71,28,54,3,127.94,383.82
72,29,91,3,97.89,293.67
73,29,47,3,147.59,442.77
74,30,28,2,401.9,803.8
75,30,93,4,493.18,1972.72
76,31,93,2,493.18,986.36
77,31,19,3,266.45,799.35
78,31,42,5,278.92,1394.6
79,31,81,3,21.17,63.51
80,32,44,4,462.08,1848.32
81,33,81,2,21.17,42.34
82,33,24,5,313.69,1568.45
83,33,73,1,478.22,478.22
84,33,58,4,151.22,604.88
85,34,36,2,258.12,516.24
86,35,60,4,463.32,1853.28
87,35,31,3,465.13,1395.39
88,36,21,4,466.52,1866.08
89,36,63,5,7.05,35.25
90,36,37,2,18.93,37.86
91,36,40,2,116.91,233.82
92,37,84,4,448.9,1795.6
93,37,23,1,109.37,109.37
94,38,61,4,236.77,947.08
95,38,6,4,189.64,758.56
96,38,100,2,446.87,893.74
97,39,3,1,298.06,298.06
98,39,55,3,317.52,952.56
99,39,10,3,403.13,1209.39
100,39,28,3,401.9,1205.7
101,40,71,4,208.34,833.36
102,40,58,4,151.22,604.88
103,40,88,3,61.41,184.23
104,40,29,1,148.73,148.73
105,41,65,1,315.15,315.15
106,41,13,5,156.7,783.5
107,41,48,3,454.26,1362.78
108,41,21,4,466.52,1866.08
109,41,84,2,448.9,897.8
110,42,37,3,18.93,56.79
111,42,61,2,236.77,473.54
112,42,15,1,56.17,56.17
113,43,18,3,110.9,332.7
114,43,70,1,336.06,336.06
115,43,2,3,98.29,294.87
116,43,2,2,98.29,196.58
117,43,67,3,90.33,270.99
118,44,100,1,446.87,446.87
119,44,9,4,88.43,353.72
120,44,83,2,455.02,910.04
121,45,91,2,97.89,195.78
122,45,96,5,125.55,627.75
123,45,74,1,156.04,156.04
124,45,34,5,52.96,264.8
125,45,32,2,482.23,964.46
126,46,15,5,56.17,280.85
127,46,25,5,58.97,294.85
128,46,12,1,315.88,315.88
129,46,84,5,448.9,2244.5
130,47,77,3,22.82,68.46
131,47,69,1,127.54,127.54
132,48,23,3,109.37,328.11
133,48,71,3,208.34,625.02
134,49,12,5,315.88,1579.4
135,49,62,3,378.63,1135.89
136,49,31,1,465.13,465.13
137,49,18,3,110.9,332.7
138,50,97,3,435.27,1305.81
139,50,78,4,75.28,301.12
140,51,52,2,287.14,574.28
141,51,30,5,264.32,1321.6
142,51,18,3,110.9,332.7
143,51,88,5,61.41,307.05
144,52,23,1,109.37,109.37
145,52,20,5,163.74,818.7
146,52,69,1,127.54,127.54
147,52,63,3,7.05,21.15
148,52,17,3,279.22,837.66
149,53,43,1,112.62,112.62
150,54,59,4,50.53,202.12
151,54,4,1,286.47,286.47
152,55,47,3,147.59,442.77
153,55,39,4,14.98,59.92
154,56,22,4,180.62,722.48
155,57,46,4,8.37,33.48
156,57,3,2,298.06,596.12
157,57,95,4,120.38,481.52
158,57,25,4,58.97,235.88
159,58,8,1,351.35,351.35
160,58,99,4,308.48,1233.92
161,58,93,5,493.18,2465.9
162,59,15,1,56.17,56.17
163,59,65,4,315.15,1260.6
164,59,16,5,431.44,2157.2
165,59,2,4,98.29,393.16
166,60,87,4,31.74,126.96
167,60,36,1,258.12,258.12
168,60,66,1,310.48,310.48
169,61,13,4,156.7,626.8
170,61,82,2,456.22,912.44
171,62,90,5,432.36,2161.8
172,63,63,4,7.05,28.2
173,63,47,4,147.59,590.36
174,63,79,2,219.91,439.82
175,63,94,5,491.84,2459.2
176,63,7,2,21.26,42.52
177,64,70,1,336.06,336.06
178,64,1,1,425.15,425.15
179,64,76,1,264.16,264.16
180,64,98,1,463.98,463.98
181,65,14,1,226.87,226.87
182,65,4,2,286.47,572.94
183,65,69,1,127.54,127.54
184,66,99,3,308.48,925.44
185,66,77,4,22.82,91.28
186,66,93,1,493.18,493.18
187,66,84,5,448.9,2244.5
188,66,16,3,431.44,1294.32
189,67,36,4,258.12,1032.48
190,68,9,4,88.43,353.72
191,69,66,3,310.48,931.44
192,69,43,3,112.62,337.86
193,69,40,5,116.91,584.55
194,69,68,3,174.73,524.19
195,69,88,3,61.41,184.23
196,70,63,2,7.05,14.1
197,70,72,3,471.19,1413.57
198,70,64,2,386.16,772.32
199,70,50,1,338.6,338.6
200,70,9,3,88.43,265.29
201,71,89,4,123.21,492.84
202,71,77,5,22.82,114.1
203,71,73,4,478.22,1912.88
204,71,95,4,120.38,481.52
205,71,31,2,465.13,930.26
206,72,47,2,147.59,295.18
207,72,22,2,180.62,361.24
208,72,69,3,127.54,382.62
209,73,100,5,446.87,2234.35
210,73,77,2,22.82,45.64
211,73,49,4,129.19,516.76
212,73,85,5,276.89,1384.45
213,73,38,1,307.83,307.83
214,74,75,1,293.85,293.85
215,74,69,2,127.54,255.08
216,74,76,2,264.16,528.32
217,74,31,3,465.13,1395.39
218,75,61,4,236.77,947.08
219,75,13,4,156.7,626.8
220,75,90,3,432.36,1297.08
221,75,44,5,462.08,2310.4
222,75,46,2,8.37,16.74
223,76,9,4,88.43,353.72
224,76,91,5,97.89,489.45
225,76,89,5,123.21,616.05
226,77,40,3,116.91,350.73
227,78,30,3,264.32,792.96
228,78,50,3,338.6,1015.8
229,79,47,4,147.59,590.36
230,79,48,5,454.26,2271.3
231,79,100,3,446.87,1340.61
232,79,20,2,163.74,327.48
233,80,7,4,21.26,85.04
234,80,58,2,151.22,302.44
235,80,53,3,495.45,1486.35
236,81,87,2,31.74,63.48
237,81,87,2,31.74,63.48
238,81,53,3,495.45,1486.35
239,81,56,1,106.88,106.88
240,81,50,2,338.6,677.2
241,82,33,3,84.95,254.85
242,83,13,2,156.7,313.4
243,83,77,4,22.82,91.28
244,83,30,1,264.32,264.32
245,83,60,4,463.32,1853.28
246,83,39,4,14.98,59.92
247,84,92,5,170.38,851.9
248,84,66,3,310.48,931.44
249,84,35,5,487.48,2437.4
250,84,95,3,120.38,361.14
251,85,27,5,169.87,849.35
252,85,4,2,286.47,572.94
253,86,88,5,61.41,307.05
254,86,73,4,478.22,1912.88
255,87,2,1,98.29,98.29
256,87,73,4,478.22,1912.88
257,87,100,5,446.87,2234.35
258,87,15,4,56.17,224.68
259,87,86,4,432.54,1730.16
260,88,89,5,123.21,616.05
261,88,48,4,454.26,1817.04
262,88,81,4,21.17,84.68
263,89,47,3,147.59,442.77
264,89,23,4,109.37,437.48
265,89,84,1,448.9,448.9
266,89,77,5,22.82,114.1
267,90,14,5,226.87,1134.35
268,90,50,4,338.6,1354.4
269,90,71,2,208.34,416.68
270,90,93,5,493.18,2465.9
